SN_Name,SN_Time,SN_RA,SN_Dec,GRB_Trigger,GRB_Time,GRB_RA,GRB_Dec,Angular_Sep_deg,GRB_Fluence_J_per_m2,mapped_burst_id
GRB 920802,1992-08-02,101.35,-48.26,1734.0,1992-08-02 04:35:24.162,101.35,-48.26,0.0,,920802
GRB 920803B,1992-08-03,134.70999999999998,-36.12,1740.0,1992-08-03 16:53:44.642,134.71,-36.12,0.0,,920803
GRB 920804B,1992-08-04,286.4,50.69,1742.0,1992-08-04 19:53:21.794,286.4,50.69,0.0,,920804C
GRB 920806,1992-08-06,284.7399999999999,-10.68,1747.0,1992-08-06 18:09:17.506,284.74,-10.68,0.0,,920806
GRB 920812B,1992-08-12,115.22,-37.91,1806.0,1992-08-12 20:59:27.746,115.22,-37.91,0.0,,920812B
GRB 920813,1992-08-13,206.22,-28.34,1807.0,1992-08-13 03:33:48.546,206.22,-28.34,0.0,,920813
GRB 920814A,1992-08-14,258.68,-44.63,1815.0,1992-08-14 06:09:53.794,258.68,-44.63,0.0,,920814
GRB 920814B,1992-08-14,226.61999999999995,-11.65,1819.0,1992-08-14 13:25:03.234,226.62,-11.65,0.0,,920814B
GRB 920816,1992-08-16,241.71,66.16000000000001,1830.0,1992-08-16 07:15:37.218,241.71,66.16,0.0,,920816
GRB 920830,1992-08-30,258.53,-73.99,1883.0,1992-08-30 01:45:17.570,258.53,-73.99,0.0,,920830
GRB 920901,1992-09-01,261.65,16.060000000000002,1885.0,1992-09-01 06:06:15.682,261.65,16.06,0.0,,920901
GRB 920902A,1992-09-02,279.15000000000003,-20.7,1886.0,1992-09-02 00:28:56.322,279.15,-20.7,0.0,,920902
GRB 920912,1992-09-12,256.11,-13.72,1922.0,1992-09-12 04:41:06.946,256.11,-13.72,0.0,,920912
GRB 920913,1992-09-13,351.5799999999999,53.61,1924.0,1992-09-13 03:55:01.122,351.58,53.61,0.0,,920913
GRB 920924,1992-09-24,126.68,-68.74,1953.0,1992-09-24 18:10:58.562,126.68,-68.74,0.0,,920924
GRB 920925B,1992-09-25,160.26,67.38,1956.0,1992-09-25 21:45:16.162,160.26,67.38,0.0,,920925
GRB 921001A,1992-10-01,324.42999999999995,32.28,1967.0,1992-10-01 04:03:53.858,324.43,32.28,0.0,,921001
GRB 921003A,1992-10-03,150.32,-14.71,1974.0,1992-10-03 06:35:40.034,150.32,-14.71,0.0,,921003
GRB 921008,1992-10-08,257.61,87.18,1982.0,1992-10-08 21:07:37.218,257.61,87.18,0.0,,921008
GRB 921015,1992-10-15,123.03999999999996,41.69,1989.0,1992-10-15 01:36:32.386,123.04,41.69,0.0,,921015
GRB 921017,1992-10-17,198.49,-17.229999999999997,1991.0,1992-10-17 23:55:13.154,198.49,-17.23,0.0,,921017
GRB 921021,1992-10-21,241.05,36.24,1993.0,1992-10-21 18:20:43.778,241.05,36.24,0.0,,921021
GRB 921022B,1992-10-22,253.78,-12.42,1997.0,1992-10-22 15:20:59.458,253.78,-12.42,0.0,,921022
GRB 921029A,1992-10-29,34.13999999999999,-1.57,2018.0,1992-10-29 12:37:56.482,34.14,-1.57,0.0,,921029B
GRB 921029B,1992-10-29,128.61,63.81,2019.0,1992-10-29 18:16:53.122,128.61,63.81,0.0,,921029
GRB 921031B,1992-10-31,294.54,12.71,2035.0,1992-10-31 18:00:05.506,294.54,12.71,0.0,,921031
GRB 921101,1992-11-01,324.61999999999995,47.36,2037.0,1992-11-01 18:03:55.714,324.62,47.36,0.0,,921101
GRB 921102C,1992-11-02,134.41999999999996,-30.76,2041.0,1992-11-02 23:00:08.450,134.42,-30.76,0.0,,921102
GRB 921109,1992-11-09,213.46,-33.07,2044.0,1992-11-09 19:40:09.218,213.46,-33.07,0.0,,921109
GRB 921110C,1992-11-10,59.88999999999999,33.809999999999995,2047.0,1992-11-10 13:38:58.818,59.89,33.81,0.0,,921110
GRB 921112D,1992-11-12,77.97999999999999,30.21,2053.0,1992-11-12 16:28:14.466,77.98,30.21,0.0,,921112
GRB 921118,1992-11-18,350.44999999999993,50.32,2061.0,1992-11-18 22:11:44.386,350.45,50.32,0.0,,921118
GRB 921123A,1992-11-23,334.2399999999999,-53.25,2067.0,1992-11-23 06:18:31.682,334.24,-53.25,0.0,,921123
GRB 921127,1992-11-27,129.03,-63.15,2069.0,1992-11-27 00:08:07.042,129.03,-63.15,0.0,,921127
GRB 921128,1992-11-28,294.51,-38.96,2070.0,1992-11-28 10:24:52.098,294.51,-38.96,0.0,,921128
GRB 921203,1992-12-03,233.61999999999995,21.03,2074.0,1992-12-03 21:44:22.914,233.62,21.03,0.0,,921203
GRB 921205,1992-12-05,339.11999999999995,5.8,2077.0,1992-12-05 00:32:28.290,339.12,5.8,0.0,,921205
GRB 921206B,1992-12-06,176.47999999999996,45.72,2080.0,1992-12-06 18:24:19.330,176.48,45.72,0.0,,921206
GRB 921207A,1992-12-07,357.69999999999993,26.91,2081.0,1992-12-07 01:05:22.562,357.7,26.91,0.0,,921207B
GRB 921207B,1992-12-07,306.33,-42.93,2083.0,1992-12-07 16:00:47.938,306.33,-42.93,0.0,,921207
GRB 921208,1992-12-08,7.4416666666666655,55.75,2087.0,1992-12-08 11:19:34.402,7.44,55.75,0.001,,921208
GRB 921209B,1992-12-09,332.97,-52.02,2090.0,1992-12-09 11:35:38.754,332.97,-52.02,0.0,,921209
GRB 921211,1992-12-11,18.39,47.47,2093.0,1992-12-11 14:30:32.834,18.39,47.47,0.0,,921211
GRB 921217,1992-12-17,88.88999999999999,21.24,2101.0,1992-12-17 19:34:35.394,88.89,21.24,0.0,,921217
GRB 921218,1992-12-18,355.61999999999995,-55.31,2102.0,1992-12-18 02:30:02.626,355.62,-55.31,0.0,,921218
GRB 921222,1992-12-22,85.67999999999999,-15.64,2105.0,1992-12-22 20:32:52.866,85.68,-15.64,0.0,,921222
GRB 921227,1992-12-27,206.33,-25.65,2106.0,1992-12-27 12:44:08.194,206.33,-25.65,0.0,,921227
GRB 921230A,1992-12-30,19.52,17.21,2110.0,1992-12-30 08:57:50.978,19.52,17.21,0.0,,921230
GRB 921230B,1992-12-30,150.53999999999996,28.63,2111.0,1992-12-30 14:05:45.986,150.54,28.63,0.0,,921230B
GRB 921230C,1992-12-30,221.86,34.16,2112.0,1992-12-30 15:41:01.954,221.86,34.16,0.0,,921230C
GRB 930102,1993-01-02,220.54,10.46,2114.0,1993-01-02 11:15:59.234,220.54,10.46,0.0,,930102
GRB 930106A,1993-01-06,199.45999999999995,-15.43,2119.0,1993-01-06 09:45:45.090,199.46,-15.43,0.0,,930106C
GRB 930106D,1993-01-06,124.78999999999998,-32.62,2122.0,1993-01-06 19:57:15.266,124.79,-32.62,0.0,,930106B
GRB 930108,1993-01-08,94.62,-30.44,2123.0,1993-01-08 02:28:55.042,94.62,-30.44,0.0,,930108
GRB 930113A,1993-01-13,328.31999999999994,9.54,2129.0,1993-01-13 00:09:02.338,328.32,9.54,0.0,,930113
GRB 930114A,1993-01-14,283.6599999999999,60.03,2133.0,1993-01-14 00:44:50.690,283.66,60.03,0.0,,930114B
GRB 930120,1993-01-20,261.31,14.739999999999998,2138.0,1993-01-20 23:31:40.290,261.31,14.74,0.0,,930120
GRB 930121A,1993-01-21,8.479166666666666,-20.81,2140.0,1993-01-21 09:17:10.146,8.48,-20.81,0.001,,930121B
GRB 930123,1993-01-23,60.38999999999999,38.34,2143.0,1993-01-23 18:45:21.154,60.39,38.34,0.0,,930123
GRB 930127A,1993-01-27,245.3,-19.96,2148.0,1993-01-27 00:28:43.010,245.3,-19.96,0.0,,930127B
GRB 930127B,1993-01-27,310.94999999999993,-39.63,2149.0,1993-01-27 16:14:25.922,310.95,-39.63,0.0,,930127
GRB 930131A,1993-01-31,182.04,-8.239999999999998,2151.0,1993-01-31 18:57:11.682,182.04,-8.24,0.0,,930131
GRB 930131B,1993-01-31,79.83,-2.6,2152.0,1993-01-31 21:11:11.234,79.83,-2.6,0.0,,930131B
GRB 930201C,1993-02-01,333.53,41.15,2156.0,1993-02-01 16:41:55.586,333.53,41.15,0.0,,930201
GRB 930210,1993-02-10,248.88,22.25,2181.0,1993-02-10 02:10:11.714,248.88,22.25,0.0,,930210
GRB 930212,1993-02-12,38.35,8.889999999999999,2187.0,1993-02-12 11:29:56.866,38.35,8.89,0.0,,930212
GRB 930213A,1993-02-13,13.929999999999998,49.41,2188.0,1993-02-13 08:52:06.914,13.93,49.41,0.0,,930213
GRB 930213B,1993-02-13,199.97,-67.46000000000001,2189.0,1993-02-13 12:45:44.450,199.97,-67.46,0.0,,930213B
GRB 930214A,1993-02-14,255.35,17.990000000000002,2190.0,1993-02-14 04:08:17.794,255.35,17.99,0.0,,930214
GRB 930214B,1993-02-14,282.83,-44.51,2191.0,1993-02-14 07:36:55.170,282.83,-44.51,0.0,,930214C
GRB 930214C,1993-02-14,194.8,26.77,2193.0,1993-02-14 18:12:58.626,194.8,26.77,0.0,,930214B
GRB 930217,1993-02-17,117.77999999999996,0.9805555555555556,2197.0,1993-02-17 14:44:38.402,117.78,0.98,0.001,,930217
GRB 930219B,1993-02-19,330.63,35.080000000000005,2202.0,1993-02-19 03:59:05.858,330.63,35.08,0.0,,930219D
GRB 930219C,1993-02-19,242.82,57.51,2203.0,1993-02-19 05:08:12.546,242.82,57.51,0.0,,930219B
GRB 930219D,1993-02-19,58.28999999999999,-30.05,2204.0,1993-02-19 08:29:57.762,58.29,-30.05,0.0,,930219C
GRB 930221,1993-02-21,145.12999999999997,-25.85,2207.0,1993-02-21 18:23:07.906,145.13,-25.85,0.0,,930221
GRB 930301,1993-03-01,296.21,-40.44,2211.0,1993-03-01 15:36:54.146,296.21,-40.44,0.0,,930301
GRB 930302,1993-03-02,90.33,5.430000000000001,2213.0,1993-03-02 21:33:17.570,90.33,5.43,0.0,,930302
GRB 930305A,1993-03-05,40.92,-36.69,2219.0,1993-03-05 07:11:37.346,40.92,-36.69,0.0,,930305
GRB 930309A,1993-03-09,325.41,51.73,2228.0,1993-03-09 03:07:49.762,325.41,51.73,0.0,,930309
GRB 930309B,1993-03-09,32.56999999999999,-28.16,2230.0,1993-03-09 12:27:56.418,32.57,-28.16,0.0,,930309B
GRB 930310,1993-03-10,284.35,-52.39,2232.0,1993-03-10 07:19:20.130,284.35,-52.39,0.0,,930310
GRB 930311,1993-03-11,126.89,-32.38,2233.0,1993-03-11 05:56:38.146,126.89,-32.38,0.0,,930311
GRB 930313,1993-03-13,35.8,86.06,2240.0,1993-03-13 10:56:34.946,35.8,86.06,0.0,,930313
GRB 930315,1993-03-15,0.3333333333333333,-10.89,2244.0,1993-03-15 00:49:45.602,0.35,-10.89,0.016,,930315
GRB 930316,1993-03-16,12.82,-62.67,2252.0,1993-03-16 22:44:37.634,12.82,-62.67,0.0,,930316
GRB 930317,1993-03-17,2.7416666666666663,7.99,2253.0,1993-03-17 15:57:53.922,2.74,7.99,0.002,,930317
GRB 930318A,1993-03-18,106.17999999999998,-19.14,2254.0,1993-03-18 07:09:20.770,106.18,-19.14,0.0,,930318B
GRB 930326A,1993-03-26,138.82999999999998,21.34,2267.0,1993-03-26 05:05:42.786,138.83,21.34,0.0,,930326B
GRB 930331A,1993-03-31,42.99999999999999,47.27,2276.0,1993-03-31 03:11:16.610,43.0,47.27,0.0,,930331
GRB 930331B,1993-03-31,50.13,-36.830000000000005,2277.0,1993-03-31 08:15:30.434,50.13,-36.83,0.0,,930331B
GRB 930405B,1993-04-05,200.06,13.02,2287.0,1993-04-05 13:59:50.658,200.06,13.02,0.0,,930405
GRB 930410,1993-04-10,25.039999999999992,-20.56,2298.0,1993-04-10 02:58:33.730,25.04,-20.56,0.0,,930410
GRB 930415,1993-04-15,29.03,17.529999999999998,2304.0,1993-04-15 09:19:48.866,29.03,17.53,0.0,,930415
GRB 930416,1993-04-16,144.54999999999998,-24.18,2306.0,1993-04-16 22:27:13.410,144.55,-24.18,0.0,,930416
GRB 930418B,1993-04-18,333.14,17.08,2309.0,1993-04-18 22:44:07.682,333.14,17.08,0.0,,930418B
GRB 930420A,1993-04-20,36.13,-29.040000000000003,2310.0,1993-04-20 05:19:52.450,36.13,-29.04,0.0,,930420B
GRB 930420B,1993-04-20,241.71,-7.09,2311.0,1993-04-20 18:15:57.058,241.71,-7.09,0.0,,930420
GRB 930424,1993-04-24,54.22,41.6,2315.0,1993-04-24 19:19:00.226,54.22,41.6,0.0,,930424
GRB 930425A,1993-04-25,17.999999999999996,-35.19,2316.0,1993-04-25 10:17:29.986,18.0,-35.19,0.0,,930425B
GRB 930430A,1993-04-30,106.32999999999998,20.97,2321.0,1993-04-30 15:01:18.594,106.33,20.97,0.0,,930430
GRB 930503A,1993-05-03,198.33,-63.52,2324.0,1993-05-03 06:32:30.594,198.33,-63.52,0.0,,930503
GRB 930503B,1993-05-03,19.62,-22.26,2325.0,1993-05-03 14:17:35.490,19.62,-22.26,0.0,,930503B
GRB 930503D,1993-05-03,5.370833333333332,-40.22,2327.0,1993-05-03 20:46:03.906,5.37,-40.22,0.001,,930503C
GRB 930506A,1993-05-06,101.82999999999998,-16.66,2328.0,1993-05-06 05:37:45.602,101.83,-16.66,0.0,,930506C
GRB 930506B,1993-05-06,64.44999999999999,-5.97,2329.0,1993-05-06 14:52:51.458,64.45,-5.97,0.0,,930506
GRB 930514B,1993-05-14,344.19999999999993,16.41,2340.0,1993-05-14 16:57:27.042,344.2,16.41,0.0,,930514B
GRB 930517A,1993-05-17,5.85,22.85,2344.0,1993-05-17 09:14:01.730,5.85,22.85,0.0,,930517B
GRB 930517B,1993-05-17,29.34,-5.96,2345.0,1993-05-17 19:59:28.898,29.34,-5.96,0.0,,930517
GRB 930518,1993-05-18,349.17,-37.51,2346.0,1993-05-18 03:20:25.730,349.17,-37.51,0.0,,930518
GRB 930519,1993-05-19,26.84,-41.46,2347.0,1993-05-19 16:13:53.154,26.84,-41.46,0.0,,930519
GRB 930521,1993-05-21,203.15,-31.88,2349.0,1993-05-21 02:42:36.290,203.15,-31.88,0.0,,930521
GRB 930531,1993-05-31,340.04,13.25,2362.0,1993-05-31 15:53:38.114,340.04,13.25,0.0,,930531
GRB 930602A,1993-06-02,263.22,37.66,2367.0,1993-06-02 13:43:04.066,263.22,37.66,0.0,,930602
GRB 930602B,1993-06-02,217.98,-32.34,2368.0,1993-06-02 19:24:52.738,217.98,-32.34,0.0,,930602B
GRB 930603,1993-06-03,121.16,0.4194444444444444,2371.0,1993-06-03 13:43:59.362,121.16,0.42,0.001,,930603
GRB 930605B,1993-06-05,294.36999999999995,34.11,2373.0,1993-06-05 06:51:20.066,294.37,34.11,0.0,,930605
GRB 930606A,1993-06-06,252.64,-79.26,2375.0,1993-06-06 07:18:48.706,252.64,-79.26,0.0,,930606B
GRB 930607,1993-06-07,163.43999999999997,35.64,2380.0,1993-06-07 21:08:09.730,163.44,35.64,0.0,,930607
GRB 930608A,1993-06-08,323.25,-10.22,2381.0,1993-06-08 11:29:10.786,323.25,-10.22,0.0,,930608B
GRB 930609A,1993-06-09,208.73,-16.38,2383.0,1993-06-09 10:07:24.162,208.73,-16.38,0.0,,930609
GRB 930610,1993-06-10,211.88,-1.91,2385.0,1993-06-10 17:52:12.418,211.88,-1.91,0.0,,930610
GRB 930612A,1993-06-12,103.07,-69.76,2387.0,1993-06-12 00:44:17.666,103.07,-69.76,0.0,,930612
GRB 930612D,1993-06-12,37.1,30.74,2391.0,1993-06-12 16:45:20.386,37.1,30.74,0.0,,930612D
GRB 930613,1993-06-13,316.23,-31.41,2392.0,1993-06-13 22:16:03.458,316.23,-31.41,0.0,,930613
GRB 930614A,1993-06-14,168.14,23.95,2393.0,1993-06-14 03:40:30.594,168.14,23.95,0.0,,930614
GRB 930614B,1993-06-14,33.3,-41.04,2394.0,1993-06-14 16:34:37.058,33.3,-41.04,0.0,,930614B
GRB 930619,1993-06-19,244.95999999999995,-68.14,2401.0,1993-06-19 19:10:57.154,244.96,-68.14,0.0,,930619
GRB 930621A,1993-06-21,201.2,-44.61,2405.0,1993-06-21 01:46:58.050,201.2,-44.61,0.0,,930621B
GRB 930627,1993-06-27,151.99999999999997,-55.94,2419.0,1993-06-27 01:29:44.834,152.0,-55.94,0.0,,930627
GRB 930701A,1993-07-01,298.72,6.33,2423.0,1993-07-01 00:31:51.450,298.72,6.33,0.0,,930701
GRB 930701B,1993-07-01,314.86999999999995,78.94,2424.0,1993-07-01 22:12:33.562,314.87,78.94,0.0,,930701B
GRB 930704B,1993-07-04,100.9,60.8,2428.0,1993-07-04 16:49:05.690,100.9,60.8,0.0,,930704
GRB 930705A,1993-07-05,283.08,-39.24,2429.0,1993-07-05 12:39:08.186,283.08,-39.24,0.0,,930705
GRB 930705B,1993-07-05,78.27,-56.17,2430.0,1993-07-05 23:52:01.434,78.27,-56.17,0.0,,930705B
GRB 930706B,1993-07-06,210.09,-1.36,2432.0,1993-07-06 08:09:10.810,210.09,-1.36,0.0,,930706B
GRB 930708C,1993-07-08,80.78999999999999,26.94,2435.0,1993-07-08 19:29:55.866,80.79,26.94,0.0,,930708
GRB 930709A,1993-07-09,194.41,-46.73,2436.0,1993-07-09 06:14:22.106,194.41,-46.73,0.0,,930709
GRB 930709B,1993-07-09,351.80999999999995,-8.389999999999999,2437.0,1993-07-09 17:26:51.802,351.81,-8.39,0.0,,930709B
GRB 930710,1993-07-10,26.349999999999994,40.19,2438.0,1993-07-10 03:14:30.170,26.35,40.19,0.0,,930710
GRB 930711A,1993-07-11,265.49999999999994,-10.989999999999998,2440.0,1993-07-11 00:51:28.026,265.5,-10.99,0.0,,930711B
GRB 930711B,1993-07-11,13.749999999999998,-9.09,2441.0,1993-07-11 03:32:01.818,13.75,-9.09,0.0,,930711C
GRB 930711C,1993-07-11,211.61999999999995,-37.39,2442.0,1993-07-11 15:10:35.162,211.62,-37.39,0.0,,930711D
GRB 930711D,1993-07-11,251.05,-50.56,2443.0,1993-07-11 23:53:55.098,251.05,-50.56,0.0,,930711
GRB 930714,1993-07-14,257.7,23.7,2446.0,1993-07-14 16:12:53.786,257.7,23.7,0.0,,930714
GRB 930715,1993-07-15,223.03,3.39,2447.0,1993-07-15 15:01:19.130,223.03,3.39,0.0,,930715
GRB 930720A,1993-07-20,20.82,25.34,2450.0,1993-07-20 14:35:09.850,20.82,25.34,0.0,,930720
GRB 930720B,1993-07-20,95.50999999999998,47.17,2451.0,1993-07-20 20:22:28.250,95.51,47.17,0.0,,930720B
GRB 930721A,1993-07-21,78.65999999999998,-33.15,2452.0,1993-07-21 01:17:22.458,78.66,-33.15,0.0,,930721B
GRB 930721B,1993-07-21,298.5799999999999,-40.79,2453.0,1993-07-21 12:45:35.258,298.58,-40.79,0.0,,930721
GRB 930724A,1993-07-24,289.6,58.31,2458.0,1993-07-24 02:21:50.362,289.6,58.31,0.0,,930724
GRB 930724B,1993-07-24,75.91999999999999,0.2305555555555555,2460.0,1993-07-24 15:42:29.146,75.92,0.23,0.001,,930724C
GRB 930730,1993-07-30,304.54999999999995,27.95,2472.0,1993-07-30 05:13:42.810,304.55,27.95,0.0,,930730
GRB 930731B,1993-07-31,102.30999999999996,37.38,2476.0,1993-07-31 06:23:56.570,102.31,37.38,0.0,,930731
GRB 930801,1993-08-01,292.7799999999999,46.02,2477.0,1993-08-01 02:12:13.850,292.78,46.02,0.0,,930801
GRB 930805B,1993-08-05,334.54999999999995,-15.6,2482.0,1993-08-05 12:39:28.666,334.55,-15.6,0.0,,930805
GRB 930807B,1993-08-07,275.1,-56.84,2484.0,1993-08-07 22:02:49.370,275.1,-56.84,0.0,,930807
GRB 930819,1993-08-19,105.76999999999998,-49.28,2495.0,1993-08-19 16:09:01.338,105.77,-49.28,0.0,,930819
GRB 930820,1993-08-20,153.04999999999998,-51.88,2496.0,1993-08-20 00:18:33.754,153.05,-51.88,0.0,,930820
GRB 930822B,1993-08-22,213.09,-0.6799999999999999,2500.0,1993-08-22 14:44:51.994,213.09,-0.68,0.0,,930822
GRB 930828,1993-08-28,177.11,37.24,2505.0,1993-08-28 01:27:23.546,177.11,37.24,0.0,,930828
GRB 930901,1993-09-01,158.28,-38.36,2508.0,1993-09-01 01:28:12.698,158.28,-38.36,0.0,,930901
GRB 930902B,1993-09-02,103.12,16.15,2510.0,1993-09-02 21:27:58.874,103.12,16.15,0.0,,930902B
GRB 930909,1993-09-09,15.83,36.84,2519.0,1993-09-09 16:14:13.402,15.83,36.84,0.0,,930909
GRB 930910C,1993-09-10,167.58999999999995,-66.69,2522.0,1993-09-10 12:12:08.218,167.59,-66.69,0.0,,930910
GRB 930913A,1993-09-13,294.27,44.27,2528.0,1993-09-13 17:05:12.346,294.27,44.27,0.0,,930913B
GRB 930914,1993-09-14,34.25999999999999,34.29,2530.0,1993-09-14 02:49:11.578,34.26,34.29,0.0,,930914
GRB 930916B,1993-09-16,280.7099999999999,65.39,2533.0,1993-09-16 20:19:23.418,280.71,65.39,0.0,,930916
GRB 930922B,1993-09-22,271.19999999999993,55.89,2537.0,1993-09-22 06:24:46.810,271.2,55.89,0.0,,930922
GRB 930926,1993-09-26,66.44,30.51,2541.0,1993-09-26 16:53:50.362,66.44,30.51,0.0,,930926
GRB 931003,1993-10-03,100.46,-45.96,2560.0,1993-10-03 21:20:29.082,100.46,-45.96,0.0,,931003
GRB 931008A,1993-10-08,280.11,-41.55,2569.0,1993-10-08 00:44:59.674,280.11,-41.55,0.0,,931008C
GRB 931008B,1993-10-08,42.98,21.37,2570.0,1993-10-08 07:18:14.554,42.98,21.37,0.0,,931008B
GRB 931013A,1993-10-13,169.23,19.110000000000003,2581.0,1993-10-13 14:57:59.066,169.23,19.11,0.0,,931013B
GRB 931014B,1993-10-14,272.5,9.34,2586.0,1993-10-14 17:01:01.722,272.5,9.34,0.0,,931014
GRB 931016B,1993-10-16,76.21999999999998,41.34,2589.0,1993-10-16 12:32:47.258,76.22,41.34,0.0,,931016B
GRB 931019B,1993-10-19,242.92,-18.7,2593.0,1993-10-19 18:22:34.906,242.92,-18.7,0.0,,931019
GRB 931023,1993-10-23,4.191666666666666,74.17,2600.0,1993-10-23 04:13:50.362,4.19,74.17,0.0,,931023
GRB 931024,1993-10-24,137.62999999999997,-8.489999999999998,2603.0,1993-10-24 13:29:09.018,137.63,-8.49,0.0,,931024
GRB 931026,1993-10-26,51.35999999999999,-10.56,2606.0,1993-10-26 11:35:57.338,51.36,-10.56,0.0,,931026
GRB 931030C,1993-10-30,258.58,33.47,2610.0,1993-10-30 18:59:05.754,258.58,33.47,0.0,,931030B
GRB 931031,1993-10-31,325.1,62.73,2611.0,1993-10-31 04:06:35.354,325.1,62.73,0.0,,931031
GRB 931106,1993-11-06,196.75,-3.13,2619.0,1993-11-06 20:32:04.250,196.75,-3.13,0.0,,931106
GRB 931108,1993-11-08,59.63999999999999,-6.35,2620.0,1993-11-08 22:51:37.498,59.64,-6.35,0.0,,931108
GRB 931110,1993-11-10,217.59,-21.81,2623.0,1993-11-10 17:14:03.674,217.59,-21.81,0.0,,931110
GRB 931112,1993-11-12,311.50999999999993,55.95,2628.0,1993-11-12 18:45:53.306,311.51,55.95,0.0,,931112
GRB 931114,1993-11-14,29.04,-39.97,2634.0,1993-11-14 05:13:15.162,29.04,-39.97,0.0,,931114
GRB 931115,1993-11-15,64.28999999999999,25.32,2636.0,1993-11-15 16:33:27.194,64.29,25.32,0.0,,931115
GRB 931117,1993-11-17,348.98999999999995,-44.14,2640.0,1993-11-17 21:55:49.018,348.99,-44.14,0.0,,931117
GRB 931118,1993-11-18,20.05,-6.16,2641.0,1993-11-18 11:31:47.482,20.05,-6.16,0.0,,931118
GRB 931126A,1993-11-26,157.27999999999997,70.08,2660.0,1993-11-26 04:46:46.682,157.28,70.08,0.0,,931126B
GRB 931127,1993-11-27,250.81,-23.07,2662.0,1993-11-27 00:50:09.690,250.81,-23.07,0.0,,931127
GRB 931128A,1993-11-28,110.14,-50.66,2663.0,1993-11-28 05:07:51.578,110.14,-50.66,0.0,,931128B
GRB 931128B,1993-11-28,293.33,80.88,2664.0,1993-11-28 07:52:40.346,293.33,80.88,0.0,,931128C
GRB 931128C,1993-11-28,142.64,18.21,2665.0,1993-11-28 17:04:12.890,142.64,18.21,0.0,,931128
GRB 931203,1993-12-03,6.52,24.53,2671.0,1993-12-03 01:02:03.930,6.52,24.53,0.0,,931203
GRB 931204B,1993-12-04,221.18,-72.72,2677.0,1993-12-04 14:35:14.970,221.18,-72.72,0.0,,931204B
GRB 931206A,1993-12-06,104.59,3.56,2680.0,1993-12-06 08:41:29.754,104.59,3.56,0.0,,931206B
GRB 931206B,1993-12-06,266.6,-5.62,2681.0,1993-12-06 17:36:30.106,266.6,-5.62,0.0,,931206
GRB 931209B,1993-12-09,259.56,20.83,2688.0,1993-12-09 23:11:51.450,259.56,20.83,0.0,,931209
GRB 931212,1993-12-12,247.61,28.44,2691.0,1993-12-12 05:29:07.482,247.61,28.44,0.0,,931212
GRB 931217,1993-12-17,0.7583333333333332,75.3,2695.0,1993-12-17 12:10:39.130,0.76,75.3,0.0,,931217
GRB 931218,1993-12-18,244.98,41.53,2696.0,1993-12-18 19:24:02.586,244.98,41.53,0.0,,931218
GRB 931219A,1993-12-19,20.49,-74.72,2697.0,1993-12-19 00:46:06.490,20.49,-74.72,0.0,,931219
GRB 931221A,1993-12-21,91.01999999999998,-43.17,2700.0,1993-12-21 02:09:50.234,91.02,-43.17,0.0,,931221
GRB 931222,1993-12-22,192.52,28.65,2703.0,1993-12-22 21:21:33.978,192.52,28.65,0.0,,931222
GRB 931223,1993-12-23,256.79,41.24,2706.0,1993-12-23 23:34:20.570,256.79,41.24,0.0,,931223
GRB 931225B,1993-12-25,4.849999999999999,9.87,2709.0,1993-12-25 23:20:12.186,4.85,9.87,0.0,,931225
GRB 931226,1993-12-26,205.95,21.63,2711.0,1993-12-26 20:11:09.338,205.95,21.63,0.0,,931226
GRB 931230,1993-12-30,239.79999999999995,63.59,2719.0,1993-12-30 20:26:49.882,239.8,63.59,0.0,,931230
